SHIVARA STUDIOS,,,,,,
Date,Day,Content Type,Category,Caption,Content Idea,Hashtags
1-Jan,Monday,Reel,Brand Intro,Welcome to Shivara Studio – where your dream spaces come alive.,New Year brand introduction reel with logo & interiors,#InteriorDesign #ShivaraStudio #HomeDecor #LuxuryInteriors #NewBeginnings
2-Jan,Tuesday,Story,Engagement,Game Time! Guess the Interior Style!,Blurred interior image with poll (Modern / Minimal),#InteriorGame #DesignGuess #StoryEngagement #InteriorStyle #ShivaraStudio
3-Jan,Wednesday,Carousel,Educational,5 interior design mistakes you should avoid.,Carousel explaining common interior mistakes,#InteriorTips #InteriorMistakes #HomeDesign #DesignTips #Interiors
4-Jan,Thursday,Story,Engagement,This or That : Modular Kitchen or Open Kitchen?,Poll sticker comparing two kitchen styles,#ThisOrThat #KitchenDesign #InteriorPoll #HomeDecor #DesignFun
5-Jan,Friday,Reel,Inspiration,Modern interiors that never go out of style.,Showcase modern interior visuals,#ModernInteriors #DesignInspiration #HomeDecorIdeas #LuxuryDesign #Interiors
6-Jan,Saturday,Story,Engagement,Spot the Difference : Can you find the design change?,Before-after image with subtle changes,#DesignGame #SpotTheDifference #InteriorFun #HomeDesign #StoryGame
7-Jan,Sunday,Image,Quote,Good design is a reflection of your soul.,Minimal design quote graphic,#DesignQuote #InteriorDesignLife #CreativeSpaces #DesignDaily #LuxuryHomes
8-Jan,Monday,Story,Engagement,Vote Your Favorite: Living Room A or B?,Two living room designs with poll sticker,#InteriorVote #LivingRoomDesign #StoryPoll #HomeInteriors #DesignChoice
9-Jan,Tuesday,Reel,Before-After,Transformations that speak for themselves.,Before-after interior transformation reel,#BeforeAfter #InteriorMakeover #HomeTransformation #DesignGoals #Interiors
10-Jan,Wednesday,Story,Engagement,Quick Quiz :Which color makes spaces look bigger?,Quiz sticker with color options,#InteriorQuiz #DesignTips #HomeColors #StoryEngagement #InteriorDesign
11-Jan,Thursday,Carousel,Services,Our interior design services explained.,Service breakdown carousel,#InteriorServices #ShivaraStudio #HomeInteriors #DesignSolutions #LuxuryLiving
12-Jan,Friday,Story,Engagement,Fill in the Blank: My dream home must have _______.,Question sticker for responses,#DreamHome #InteriorTalk #StoryQuestions #HomeDecor #DesignCommunity
13-Jan,Saturday,Reel,Process,Here’s how we design your dream space.,Step-by-step design process reel,#DesignProcess #InteriorJourney #HomeDesign #InteriorExperts #ShivaraStudio
14-Jan,Sunday,Story,Engagement,Emoji Game: Describe your dream interior using emojis!,Emoji reply challenge,#EmojiGame #InteriorFun #StoryReplies #DesignLove #ShivaraStudio
15-Jan,Monday,Image,Testimonial,Our clients love our work – and we love theirs.,Client testimonial post,#ClientLove #InteriorDesignReview #HappyClients #DesignTrust #Interiors
16-Jan,Tuesday,Story,Engagement,Poll Time: Would you renovate or redesign your home?,Simple poll sticker,#HomeRenovation #DesignPoll #InteriorDecision #StoryEngagement #HomeDesign
17-Jan,Wednesday,Reel,Educational,How to choose the perfect color palette for your home.,Color palette tips reel,#ColorPalette #InteriorColors #DesignTips #HomeDecor #InteriorDesign
18-Jan,Thursday,Story,Engagement,Guess the Cost : Budget or Luxury Interior?,Interior image with guess poll,#InteriorBudget #LuxuryDesign #GuessGame #StoryFun #InteriorStyle
19-Jan,Friday,Carousel,Inspiration,Luxury living room design ideas.,Living room inspiration carousel,#LivingRoomDesign #LuxuryInteriors #HomeInspiration #InteriorIdeas #DesignGoals
20-Jan,Saturday,Story,Engagement,Rate This Design : How much would you rate this interior?,Rating slider story,#DesignRating #InteriorReview #StorySlider #HomeDesign #Interiors
21-Jan,Sunday,Image,Brand Value,Design that balances beauty and functionality.,Brand philosophy graphic,#DesignPhilosophy #FunctionalLuxury #InteriorDesign #CreativeSpaces #ShivaraStudio
22-Jan,Monday,Story,Engagement,Choose Your Mood : Warm tones or Cool tones?,Color palette poll,#ColorMood #InteriorColors #DesignPoll #StoryEngagement #HomeDecor
23-Jan,Tuesday,Reel,Portfolio,A glimpse of our recent interior project.,Project showcase reel,#InteriorPortfolio #DesignWork #HomeInteriors #LuxuryHomes #Interiors
24-Jan,Wednesday,Story,Engagement,True or False: Mirrors make rooms look bigger.,Myth-busting quiz sticker,#InteriorMyths #DesignQuiz #HomeTips #StoryGame #InteriorDesign
25-Jan,Thursday,Carousel,Educational,Space-saving interior ideas for small homes.,Tips carousel for compact spaces,#SmallHomeDesign #SpaceSaving #InteriorHacks #DesignIdeas #HomeDecor
26-Jan,Friday,Story,Engagement,What’s Your Style?  Minimal | Modern | Luxury,Multi-option poll,#InteriorStyle #DesignPersonality #StoryPoll #HomeInteriors #ShivaraStudio
27-Jan,Saturday,Carousel,Engagement,Which interior style do you prefer?,Modern vs Classic poll,#InteriorStyle #DesignPoll #ModernInteriors #ClassicDesign #HomeDecor
28-Jan,Sunday,Story,Engagement,Would You Live Here?  Yes or  Absolutely,Premium interior image reaction poll,#InteriorInspiration #DreamSpaces #StoryReaction #LuxuryHomes #DesignFun
29-Jan,Monday,Image,CTA,Ready to transform your space? Contact us today.,Call-to-action graphic,#InteriorDesigner #BookConsultation #HomeMakeover #ShivaraStudio #DesignExperts
30-Jan,Tuesday,Story,Engagement,Ask Us Anything  Interior design doubts?,Q&A sticker,#AskTheDesigner #InteriorQuestions #StoryEngagement #HomeDesign #ShivaraStudio
31-Jan,Wednesday,Reel,Recap,January design highlights by Shivara Studio.,Monthly recap reel,#DesignRecap #InteriorDesignJourney #ShivaraStudio #HomeDesign #LuxuryInteriors
